Store_ID,Store_Name,Company,City,Zone,Size_SqFt,Month,Month_Num,Daily_Orders,Monthly_Orders,Avg_Order_Value,Revenue,COGS,Gross_Profit,Rent,Staff_Cost,Delivery_Cost,Inventory_Waste,Discounts,Utilities,Total_Operating_Cost,Contribution_Margin,CM_Per_Order,Profitable,CM_Percentage,Fixed_Costs,Variable_Cost_Per_Order,Contribution_Per_Unit,Breakeven_Orders_Monthly
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-01,1,787,23610,374,8830140,5267194.0,3562946.0,185000,218513,356896.0,380815.0,372809.0,42870,1556903.0,2006043.0,84.97,Yes,22.72,446383,47.04,103.87,4298.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-02,2,782,23460,334,7835640,4559613.0,3276027.0,185000,184561,369474.0,550084.0,162951.0,31515,1483584.0,1792442.0,76.4,Yes,22.88,401076,46.14,93.5,4290.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-03,3,830,24900,369,9188100,5629517.0,3558583.0,185000,217787,438082.0,525701.0,423379.0,49864,1839812.0,1718771.0,69.03,Yes,18.71,452651,55.71,87.2,5191.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-04,4,847,25410,369,9376290,5676002.0,3700288.0,185000,232842,387346.0,992537.0,282206.0,28039,2107970.0,1592318.0,62.67,Yes,16.98,445881,65.41,80.21,5559.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-05,5,767,23010,325,7478250,4717651.0,2760599.0,185000,229342,470716.0,696174.0,269866.0,37403,1888501.0,872097.0,37.9,Yes,11.66,451745,62.44,57.53,7852.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-06,6,710,21300,317,6752100,4252231.0,2499869.0,185000,254800,396581.0,614654.0,144324.0,32467,1627826.0,872042.0,40.94,Yes,12.92,472267,54.25,63.11,7483.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-07,7,774,23220,290,6733800,4251176.0,2482624.0,185000,186476,395692.0,486374.0,303178.0,30329,1587049.0,895575.0,38.57,Yes,13.3,401805,51.04,55.88,7190.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-08,8,704,21120,306,6462720,4008247.0,2454473.0,185000,178717,398599.0,322811.0,270619.0,30354,1386099.0,1068374.0,50.59,Yes,16.53,394071,46.97,69.25,5691.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-09,9,782,23460,314,7366440,4709891.0,2656549.0,185000,217570,456928.0,758962.0,318820.0,32505,1969785.0,686764.0,29.27,Yes,9.32,435075,65.42,47.82,9098.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-10,10,1063,31890,320,10204800,6164412.0,4040388.0,185000,177350,500286.0,1067363.0,472391.0,35311,2437700.0,1602687.0,50.26,Yes,15.71,397661,63.97,62.73,6339.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-11,11,919,27570,343,9456510,5709254.0,3747256.0,185000,280285,417492.0,438217.0,400480.0,42661,1764135.0,1983121.0,71.93,Yes,20.97,507946,45.56,90.36,5621.0
BLR-01,Koramangala Central,Blinkit,Bangalore,South,650,2024-12,12,745,22350,354,7911900,4792286.0,3119614.0,185000,264700,377625.0,861074.0,191072.0,41171,1920641.0,1198973.0,53.65,Yes,15.15,490871,63.97,75.61,6492.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-01,1,366,10980,294,3228120,1901913.0,1326207.0,165000,201938,223296.0,210464.0,70715.0,37504,908917.0,417290.0,38.0,Yes,12.93,404442,45.94,74.84,5404.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-02,2,353,10590,339,3590010,2196177.0,1393833.0,165000,163009,205894.0,161960.0,167092.0,49604,912559.0,481274.0,45.45,Yes,13.41,377613,50.51,81.11,4656.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-03,3,296,8880,362,3214560,1930056.0,1284504.0,165000,236939,155206.0,220889.0,156274.0,53699,988007.0,296498.0,33.39,Yes,9.22,455638,59.95,84.7,5379.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-04,4,330,9900,344,3405600,2130944.0,1274656.0,165000,293085,210880.0,350460.0,98604.0,45937,1163965.0,110690.0,11.18,Yes,3.25,504022,66.66,62.09,8118.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-05,5,314,9420,305,2873100,1692745.0,1180355.0,165000,202349,172528.0,259727.0,103175.0,25018,927796.0,252559.0,26.81,Yes,8.79,392367,56.84,68.46,5731.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-06,6,321,9630,342,3293460,1914056.0,1379404.0,165000,255153,202517.0,305866.0,96253.0,26898,1051686.0,327718.0,34.03,Yes,9.95,447051,62.79,80.45,5557.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-07,7,270,8100,352,2851200,1815693.0,1035507.0,165000,182453,160828.0,286739.0,140677.0,42455,978152.0,57356.0,7.08,Yes,2.01,389908,72.62,55.22,7061.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-08,8,307,9210,296,2726160,1689088.0,1037072.0,165000,203287,148469.0,278179.0,89129.0,31940,916005.0,121067.0,13.15,Yes,4.44,400227,56.0,56.6,7071.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-09,9,346,10380,376,3902880,2434600.0,1468280.0,165000,212730,204523.0,262642.0,156703.0,37236,1038835.0,429445.0,41.37,Yes,11.0,414966,60.1,81.35,5101.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-10,10,386,11580,346,4006680,2432412.0,1574268.0,165000,224986,182936.0,244628.0,150849.0,32540,1000939.0,573329.0,49.51,Yes,14.31,422526,49.95,86.0,4913.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-11,11,400,12000,280,3360000,1963112.0,1396888.0,165000,175433,189978.0,331080.0,153851.0,27321,1042663.0,354224.0,29.52,Yes,10.54,367754,56.24,60.17,6112.0
BLR-02,Indiranagar Hub,Blinkit,Bangalore,East,580,2024-12,12,315,9450,315,2976750,1845998.0,1130752.0,165000,216160,173066.0,270997.0,138334.0,43881,1007438.0,123314.0,13.05,Yes,4.14,425041,61.63,58.03,7325.0
BLR-03,HSR Layout Store,Zepto,Bangalore,South,500,2024-01,1,522,15660,340,5324400,3346118.0,1978282.0,145000,209914,231057.0,465371.0,163081.0,38470,1252893.0,725389.0,46.32,Yes,13.62,393384,54.89,71.44,5506.0
BLR-03,HSR Layout Store,Zepto,Bangalore,South,500,2024-02,2,552,16560,373,6176880,3602667.0,2574213.0,145000,185799,239870.0,530981.0,271893.0,28580,1402123.0,1172090.0,70.78,Yes,18.98,359379,62.97,92.48,3886.0
